名称,建筑类型,朝代,建造年代,地理位置,建造者,自然科学成就,简介
赵州桥,桥梁,隋,605年,河北赵县,李春,世界现存最古老的敞肩石拱桥，首创敞肩拱结构，比欧洲同类桥早700年；主拱跨度37.02米，拱高仅7.23米，大跨度低弧线设计；采用28道独立拱券并列砌筑，增强抗震性能,
卢沟桥,桥梁,金,1192年,北京丰台,金朝,北京现存最古老的联拱石桥，11孔联拱结构，各孔净跨径和矢高均不相等，边孔小中孔大，结构合理；桥栏石狮雕刻精美，形态各异,
江东桥,桥梁,南宋,1237年,福建漳州,李韶,世界最大最重构件石梁桥，单根石梁最长23.7米，最重200余吨，展现古代巨型石构件运输与安装技术,
北京四合院,民居,明清,元代始建,北京,民间工匠,合院式民居典范，采用中轴对称布局，南北朝向，庭院采光通风科学合理；抬梁式木构架体系，结构稳固抗震,
陕西窑洞,民居,远古至明清,前2000年,陕西、甘肃、山西,民间工匠,利用黄土层保温隔热特性建造，冬暖夏凉，节能环保；有靠崖式、下沉式和独立式三种类型，体现因地制宜建造智慧,
皖南徽派民居（宏村）,民居,明清,明代始建,安徽黄山,徽商,徽派民居典范，马头墙兼具防火防风功能；水系规划科学，牛形村落布局，人工水系贯穿全村，解决生活用水与消防需求,
湘西吊脚楼,民居,明清,明代始建,湖南湘西,苗族土家族先民,干栏式建筑代表，底层架空防潮防洪，上层居住；穿斗式木构架，灵活适应山地地形，体现南方湿热地区建筑智慧,
开平碉楼,民居,清,清代始建,广东开平,华侨,中西合璧防御性民居，融合中国传统夯土技术与西方建筑元素，多层塔楼式结构兼具防御与居住功能,
云南一颗印,民居,明清,明代始建,云南昆明,民间工匠,合院式民居，平面布局方正如印，适应云南高原气候；正房与厢房围合形成封闭院落，防风防晒,
晋中王家大院,民居,清,清代始建,山西灵石,王氏家族,清代民居集大成者，院落层层递进，空间序列严谨；砖雕木雕石雕三雕艺术精湛，体现晋商文化与建筑技艺,
南阳府衙,官府,元明清,1271年,河南南阳,元朝,中国保存最完整的府级官署建筑群，沿中轴线五进院落布局，体现古代官署建筑礼制规范,
淮安府署,官府,明清,1170年,江苏淮安,南宋始建,中国现存体量最大、保存最完整的明清府级官署建筑，占地超2万平方米，沿250米中轴线五进院落，融合南北建筑精髓,
绥远城将军衙署,官府,清,1737年,内蒙古呼和浩特,清代,清代一品封疆大吏官邸规格建造，为清代八旗驻防城主体建筑，体现清代军事衙署建筑特色,
保定直隶总督署,官府,清,1730年,河北保定,清代,中国保存最完整的清代省级衙署，严格中轴对称布局，体现清代官署建筑最高等级,
